Kategori,Gejala
b,"Pada awalnya, plak gigi berwarna putih kekuningan atau putih kecokelatan. Seiring waktu, plak gigi yang tadinya kuning dapat berubah warna menjadi keabu-abuan"
b,garis gusi dan gigi kadang terasa ngilu
b,gigiku berubah warna terus ada seperti lapisan yang mengeras 
b,kondisi mulutku kering padahal sudah banyak minum air
b,mulutku rasanya kering
b,bau mulutku berlangsung lama sekali
b,gigi bagian dalamku kerasa kasar sekali waktu disentuh
b,gigiku terdapat pengerasan lapisan berwarna hitam
b,terdapat lapisan pada gigiku yang tidak terasa halus dan berwarna kecoklatan
b,rongga mulutku rasanya kering dan tidak nyaman
b,dibagian garis antara gusi dan gigi rasanya ada yang mengganjal
b,air liurku rasanya aneh dan berbau tidak sedap
b,muncul lapisan mengeras berwarna kuning kecoklatan
b,ada pengelompokan plak yang berubah menjadi kerak
b,di garis gigi saya ada kerak yang susah hilang padahal sudah sikat gigi rutin rutin
b,status PH air liur saya meningkat drastis
b,ada kotoran yang mengeras berwarna coklat di garis gigiku
,
c,Demam
c,Pembengkakan gusi
c,"Sakit gigi yang menyebar ke telinga, rahang dan leher"
c,Bau mulut
c,Pembengkakan kelenjar getah bening di leher atau bawah rahang
c,Sesak napas
c,gigi bernanah yg dpt menjalar ke bagian tubuh lain.
c,hari ini demam 
c,plus sakit gigi yang nyerinya sampe ke telinga 
c,"Gabisa ngunyah makanan, gigi bengkak. Tapi kalo ga makan lambung kena"
c,baru kali ini sakit gigi nyerinya sampe ke leher
c,Abses gigi adalah terbentuknya kantung berisi nanah
c,gigi muncul benjolan berisi nanah pada gigi
c,Gigi berubah warna padahal  rajin sikat gigi
c,tenggorokan tiba-tiba bengkak
c,timbul rasa nyeri di mulut yang menyakitkan
c,nyeri di gigi tiap jam tambah parah
c,gigi sulit untuk mengunyah makanan secara normal
c,susah menelan makanan
c,muncul nyeri saat minum minuman panas
c,gigi terasa nyeri saat diketuk
c,kesulitan membuka mulut sepenuhnya
c,ada pembekakan pada wajah
c,wajahku bengkak
c,gigiku nyeri sampai ke telinga
c,nyeri tiba-tiba dibagian gusi
c,"Gusi mengkilat, merah dan bengkak"
c,lidah mengecap rasa aneh
c,pipi nyeri ketika berbaring
c,Bibir terasa perih
c,Bibir mudah berdarah
c,Gigi berjejal
c,Nyeri saat luka tersentuh
c,Nyeri saat mengigit
c,gigiku terasa cenut-cenut pada saat makan
c,sepanjang hari gigiku nyeri
c,Gigi sensitif terhadap suhu panas atau dingin.
c,jika memakan sesuatu yang dingin gigiku terasa nyeri
c,jika memakan sesuatu yang panas gigiku terasa nyeri
c,Akhir-akhir ini kelenjar getah bening lagi sering bengkak
c,tiba-tiba bawah rahangku kerasa sakit dan keliatan bengkak
c,"Tadi waktu makan, gigiku tertekan sama makanan dan rasanya sakit"
c,gigiku terasa nyut nyut
c,ketika kau minum es gigiku terasa ngilu
c,gigiku sering ngilu
c,"gigi saya sakit, bahkan telingaku juga terasa sakit"
c,gigi dan telingaku terasa sakit
c,melonggarnya gigi
c,gigiku terasa jadi longgar
c,Abses adalah rongga patologis yang berisi nanah yang disebabkan oleh infeksi bakteri. Ini merupakan infeksi akut purulen yang berkembang pada bagian apikal gigi. Kondisi ini biasanya disebabkan oleh bakteri yang berasal dari gigi yang terinfeksi baik pada maksila maupun pada mandibula
c,ketika gigi diketuk terasa sakit
c,ketika gigi akan terasa sakit jika terkena sentuhan sedikit
c,air liur saya sekarang jadi terasa pait
c,ludahku sekarang jadi terasam pait
c,ludahku sekarang jadi terasam pahit
c,saat makan agak terasa pahit
c,ada rasa pahit di mulut
c,mulutku terasa pahit
c,Area bengkak di rahang atas atau bawah
c,ada bengkak di rahang atas
c,ada bengkak di rahang bawah
c,hari ini aku mengalami demam disertai ada bengkak di gigi bagian rahang 
,
d,Gusi mudah berdarah ketika menyikat gigi atau membersihkan sela gigi
d,Gusi bengkak dan muncul rasa sakit
d,nyeri saat mengunyah makanan
d,terdapat nanah antara gigi dan gusi
d,Gusi menyusut sehingga akar gigi terlihat
d,gusi terasa sakit lagi lagi bila scaling dilakukan.
d,kadang gambaran terlihat kemerahan di gusi
d,bahkan nanah di sela gusi sama gigi
d,gusi akhir-akhir ini sering banget berdarah pas lagi sikat gigi
d,"Gabisa ngunyah makanan, gigi bengkak. Tapi kalo ga makan lambung kena"
d,terjadi akumulasi plak dan karang gigi
d,gigi goyang disertai perih yang menjalar hingga rahang
d,memerahnya gusi di sekitar pangkal gigi
d,bau nafas seperti bau logam
d,"ketika menggunakan gigi palsu, tidak terpasang dengan erat"
d,bau nafas yang bertahan lama
d,bau nafas tidak bisa hilang dengan mouthwash atau obat antiseptik lainnya
d,gusi mudah berdarah ketika menggunakan benang gigi
d,gusi lagi berdarah terus kadang ada nanahnya juga 
d,gusiku berwarna merah kehitaman
d,"kemarin bersihin sela pake benang gigi, tiba-tiba berdarah padahal sebelumnya normal aja "
d,"waktu bersihin karang gigi ,gusi sakit. biasanya nyaman aja"
d,gigi longgar serta terasa perih di sela gusi dan gigi
d,gusi berubah warna menjadi lebih pucat
d,gigi goyah seperti akan lepas
d,gusi menjadi kebiruan 
d,gusi rasanya perih ketika disentuh
d,karang gigi yang mengeras dan nyeri
d,"Terdapat luka berbentuk oval atau bulat yang berwarna putih/kuning dan tepi yang merah di
dalam rongga mulut "
d,Gusiku tiba-TIBA Berdarah
d,muncul nanah pada gusiku
d,rasa nyeri yang intens dan tajam
d,gigi goyang sampai lepas
d,"Benjolan di bagian kepala,leher,atau rahang"
d,gusiku rasanya nyut-nyutan
d,Ujung gusi mengalami pengikisan
d,Gusi berwarna merah terang 
d,"Banyak luka terbuka berwarna putih dan kuning"
d,"tadi pagi tiba-tiba pas gosok gigi, gusiku berdarah "
d,gusi disekitar pangkal gigi memerah
d,gusi pangkal gigiku bengkak
d,"Gigiku akhir-akhir ini  terasa ngilu dan lebih sensitif terhadap rasa
manis, panas atau dingin"
d,gigiku jadi tambah sensitif dan sering nyeri berlebihan beberapa hari ini
d,Ujung gusi mengalami pengikisan
d,gusiku rasanya nyeri dan berdenyut waktu sikat gigi
d,rahangku rasanya sakit ketika digerakkan
Radang Gusi,gusi bagian gigi belakang muncul rasa nyeri
,
e,"Kamu itu seperti nyeri sakit gigi, kadang muncul,kadang engga."
e,sakit gigi emang lebih sakit dari sakit hati please gakuat
e,hatiku berlubang seperti gigiku yang berlubang
e,ternyata cabut gigi tidak sesakit 
e,Apa daya sakit hati bisa bikin aku banyak makan si karna galau sakit gigi bikin aku kurusan karna males ngunyah makanan
e,Mending Galau Karna Gigi Gua Ompong Gara2 Ditonjok dari Pada Galau Mikirin kamu
e,"udah ini sakit gigi, galau lagi, lengkap sudah"
e,"Bener ya lebih baik sakit gigi, daripada sakit hati,apalagi ketika kamu balikan sama mantanmu dan ninggalin aku."
e,"Sakit ati masih bisa makan, sakit gigi kena senggol lidah dikit aja pen marach"
e,Sakit hati dan sakit gigi itu sama-sama berawal dari yang manis
e,Sakit menahan rindu itu tidak sesusah menahan nyeri waktu sakit gigi
e,mendingan pusing gara-gara tugas deh daripada gara-gara gigi bolong
e,lebih baik bolong gigi sih daripada bolong puasa
e,"ga boong asli, sakit gigi lebih menyakitkan daripada masalah - masalah hidupku"
e,"lagi pengen banyak makan, tapi ni gigi gabisa diajak kompromi. alias mengganggu nafsu makan bangett parah"
e,nyari pc yoongi sakit gigi susah bener dah
e,siapa yang mengizinkan sakit gigi ada di dunia sih
e,Pingin nyapa kembali tapi lagi sakit gigi
e,katanya obat sakit gigi paling ampuh itu cium pipi
e,"Maaf ya engga bisa diem, kalo diem berarti kita lagi sakit gigi"
e,"Kamu tau ga.Tiap kamu ketawa,gigi aku sakit.Gemes."
e,Yang sakit gigi tapi yg teriris iris hati
e, kalo sakit gigi dompet juga ikutan sakit 
e,kalo sakit gigi sakitnya gaada ahlak
e,Dahlah punya gigi bikin sakit gigi. Gapunya gigi gabisa makan.
e,"nangis tiap hari dahlah gak mau lagi gue ngerasain sakit gigi,gak sanggup"
e,masih sakit gigi tp setidaknya udah bisa tidur
e,"Tensi ikut tinggi pasti pas sakit gigi, bawaannya pengen makan orang"
e,Kangen sama gigi nya yang gerigis di masa tk & sd kls 2 terus selalu main bareng
e,katanya obat sakit gigi paling ampuh itu dapet duit banyak
e,ngantuk
e,pengen tidur
e,ngerasa kurang duit
e,lelah karena banyak tugas
e,mager
e,males gerak
e,keyak ngantuk banget
e,rasanya seperti mau terbang
e,pengen jadi batu
e,yang sakit gigi eh yg nyeri hati
e,"gigiku terasa sakit, karena gak ada uang"
e,bersenang-senang
e,menari-nari
e,tertawa riang
e,gigiku bagus
e,gigiku putih bersih
e,aku merasa sehat hari ini
e,minum susu
e,ngantuk atau terasa kantuk 
e,merinding sebadan
e,Tangan Tremor
e,Jantung dag dig dug
e,bengkak di pipi ngurangin pede
e,"lagi sakit gigi, tolong kasih afeksi"
e,"yang berlubang gigi, eh yang sakit hati"
e,Siku pegal
e,sakit gigi rasanya kaya syaraf kepala dicubitin pake tang
e,lipbalm tuh ampuh buat bibir kering apalagi kalo gratis
e,pinggang rasanya kaya mau copot
e,lutut pegel
e,tengkuk sakit kaya dipukul pake balok
e,tanganku pegel sekali
e,lagi susah senyum
e,"dompetku kering, begitupun bibirku"
e,hari ini lagi banyak senengnya
e,kepala pening butuh liburan
e,obat manjur sariawan itu es jeruk gratis
,
f,muncul luka di dalam bibir
f,terjadi peradangan di mulut
f,ada luka berbentuk bulat berwarna putih
f,bibirku ada luka bentuk oval tepinya warna merah
f,bagian dalam bibirku rasanya perih
f,bibirku pegel susah buat makan
f,mulut terasa perih dan susah digunakan untuk berbicara
f,bibir pecah-pecah
f,ada sensasi kesemutan atau terbakar di area bibir 
f,muncul kemerahan dan luka yang membuat nyeri 
f,pembengkakan gusi
f,muncul luka warna merah di bagian dalam pipi
f,lidahku rasanya seperti terbakar
f,Bagian dalam mulut dan tenggorokan berwarna merah
f,tenggorokanku rasanya ga nyaman ketika menelan sesuatu
f,"bibirku ga sengaja kegigit waktu makan, dan sekarang rasanya perih"
f,di lidahku ada luka berwarna putih dan bikin nyeri
f,ada luka bentuknya bulat dan berwarna kuning di gusiku
f,muncul luka kecil yang dangkal di rongga mulut
f,timbul plak putih di lidah
f,mulut luka berbentuk bercak berwarna putih kekuningan dengan permukaan agak cekung
f,ada bercak keputihan
f,ada bercak di bibir
f,ada bercak di bibirku
f,dibibirku ada bercak 
f,Radang pada lidah
f,lidahku radang abis makan pedes
f,aku susah ngunyah makan karena muncul luka bulat di lidah
f,bagian dalam bibirku rasanya perih pas kena odol
f,bibirku rasanya kering dan perih
f,Rasa nyeri dan sakit pada bibir&mulut 
f,kehilangan selera makan
f,"nafsu makanku turun, karena lidah sakit buat kunyah makanan"
f,ada luka kecil bentuknya bulat di lidahku
f,langit-langit mulutku muncul luka cekung 
f,muncul luka pada bagian bibir dalam dan perih kalau kena air liur
f,"lukanya kecil, tapi bikin bibir kaku"
f,rasanya nyeri seperti ditusuk jarum di bibir bagian dalam
f,muncul kemerahan dan luka pada lidah yang menyebabkan nyeri 
f,ada kemerahan dan luka di pipi bagian dalam dan rasanya nyeri 
f,bibir bagian dalam kemerahan dan ada luka yang bikin nyeri 
f,muncul kemerahan dan luka pada langit-langit mulut yang menyebabkan nyeri ketika membuka mulut 
f,mulutku bengkak terus ada kemerahan
f,"tadi waktu makan, pipi bagian dalam ga sengaja kegigit. terus sekarang nyeri perih"
f,"ahir-akhir ini lagi jarang konsumsi vit c, terus tadi pagi tiba-tiba muncul luka bentuknya bundar di lidah"
f,bibirku pecah-pecah
f,bibirku kering dan kerasa kaku
